Распределение температуры на момент времени t = 100 секунд:
x = 0, T = 100 C
x = 0.526316, T = 164.394 C
x = 1.05263, T = 218.269 C
x = 1.57895, T = 256.275 C
x = 2.10526, T = 279.167 C
x = 2.63158, T = 291.107 C
x = 3.15789, T = 296.574 C
x = 3.68421, T = 298.801 C
x = 4.21053, T = 299.617 C
x = 4.73684, T = 299.894 C
x = 5.26316, T = 299.997 C
x = 5.78947, T = 300.088 C
x = 6.31579, T = 300.298 C
x = 6.84211, T = 300.856 C
x = 7.36842, T = 302.223 C
x = 7.89474, T = 305.208 C
x = 8.42105, T = 310.931 C
x = 8.94737, T = 320.433 C
x = 9.47368, T = 333.902 C
x = 10, T = 350 C
